key,textid,sector_name,action,x1,y1,x2,y2,gate_n,gate_s,gate_w,gate_e
20109,0,Flaming Dawn,-2,-1,-1,-1,-1,1,0,0,1
20209,0,Evaporated Skies,-2,-1,-1,-1,-1,1,1,1,1
20110,0,Purple Fog,-2,-1,-1,-1,-1,1,1,0,1
20210,0,The Twins,-2,-1,-1,-1,-1,1,0,1,0
21114,0,Dual Eclipse,-2,-1,-1,-1,-1,1,1,1,1
21417,0,Three Moons,-2,-1,-1,-1,-1,0,1,0,1
21517,0,City in Space,-2,-1,-1,-1,-1,1,1,1,0
21418,0,Thor's Might,-2,-1,-1,-1,-1,1,1,1,1
21518,0,Accretion Disc,-2,-1,-1,-1,-1,1,1,1,0
10703,0,Rhonkar's Clouds,-1,7,3,-1,-1,-1,-1,-1,-1
11404,0,Guiding Star,-1,14,4,-1,-1,-1,-1,-1,-1
10216,0,Prophecy Fulfilled,-1,2,16,-1,-1,-1,-1,-1,-1
20000,1020101,Kho's Vengeance,1,-1,-1,0,0,0,1,0,1
20100,1020102,Brennan's Memorial,1,-1,-1,1,0,0,1,1,0
21600,1020117,Duke's Retreat,1,-1,-1,16,0,0,1,0,1
21700,1020118,Fire of Redemption,1,-1,-1,17,0,0,1,1,0
12000,1020121,Unknown Sector Omega,0,20,0,20,0,0,0,0,1
12100,1020122,Tokyo Lambda,0,21,0,21,0,0,1,1,0
20001,1020201,Arcturus Prime,1,-1,-1,0,1,1,1,0,1
20101,1020202,Eye of Colossus,1,-1,-1,1,1,1,1,1,0
10915,1020217,Consecrated Fire,0,9,15,16,1,1,1,0,1
11015,1020218,Heaven's Assertion,0,10,15,17,1,1,0,1,0
12101,1020222,Gannet Kappa,0,21,1,21,1,1,0,0,1
12201,1020223,Ares Iota,0,22,1,22,1,0,1,1,0
20002,1020301,Starkiller's Clan,1,-1,-1,0,2,1,1,0,0
20102,1020302,Pilgrim's Relay,1,-1,-1,1,2,1,1,0,0
11712,1020303,Kuiper Belt,0,17,12,2,2,0,0,0,1
11613,1020304,Pluto,0,16,13,3,2,0,1,1,1
11612,1020305,Neptune,0,16,12,4,2,0,0,1,1
11313,1020306,Uranus,0,13,13,5,2,0,0,1,1
11211,1020307,Jupiter,0,12,11,6,2,0,1,1,1
11212,1020308,Saturn,0,12,12,7,2,0,1,1,0
10714,1020312,Scion Fire,0,7,14,11,2,0,1,0,1
10814,1020313,Spring of Belief,0,8,14,12,2,0,0,1,1
11214,1020314,Perpetual Sin,0,12,14,13,2,0,1,1,0
21402,1020315,Harmony,1,-1,-1,14,2,0,1,0,0
11907,1020317,Grand Exchange,0,19,7,16,2,1,1,0,1
12007,1020318,Tears of Greed,0,20,7,17,2,0,1,1,1
10304,1020319,Elena's Fortune,0,3,4,18,2,0,1,1,1
11902,1020320,Cerberus Alpha,0,19,2,19,2,0,1,1,0
12102,1020322,Kraken Eta,0,21,2,21,2,0,1,0,1
12202,1020323,Tiger Theta,0,22,2,22,2,1,0,1,0
20003,1020401,Starkiller's Hideout,1,-1,-1,0,3,1,1,0,0
10601,1020402,Family Zein,0,6,1,1,3,1,1,0,1
11804,1020403,Family Ryk,0,18,4,2,3,0,1,1,1
11711,1020404,Oort Cloud,0,17,11,3,3,1,0,1,0
11411,1020405,The Moon,0,14,11,4,3,0,0,0,1
11511,1020406,Earth,0,15,11,5,3,0,1,1,1
11310,1020407,Mars,0,13,10,6,3,1,1,1,0
11604,1020408,Family Njy,0,16,4,7,3,1,1,0,1
11704,1020409,Njy's Deception,0,17,4,8,3,0,1,1,0
10006,1020412,Emperor Mines,0,0,6,11,3,1,0,0,1
10106,1020413,Paranid Prime,0,1,6,12,3,0,1,1,1
10206,1020414,Priest Rings,0,2,6,13,3,1,1,1,0
11405,1020415,Elysium of Light,0,14,5,14,3,1,1,0,1
10608,1020416,Unknown Sector Gamma,0,6,8,15,3,0,0,1,1
11908,1020417,Merchant Haven,0,19,8,16,3,1,1,1,0
11107,1020418,Xenon Sector 347,0,11,7,17,3,1,0,0,0
10306,1020419,Priest's Pity,0,3,6,18,3,1,1,0,0
11903,1020420,Pike Beta,0,19,3,19,3,1,0,0,1
12003,1020421,Cobra Gamma,0,20,3,20,3,0,1,1,0
12103,1020422,Magnetar Zeta,0,21,3,21,3,1,1,0,0
20004,1020501,Smuggler's Path,1,-1,-1,0,4,1,0,0,1
11009,1020502,Y Gamma,0,10,9,1,4,1,0,1,0
10411,1020503,Rhonkar's Trial,0,4,11,2,4,1,1,0,1
20304,1020504,Family Dispute,1,-1,-1,3,4,0,1,1,0
11309,1020505,Mercury,0,13,9,4,4,0,1,0,1
11311,1020506,Venus,0,13,11,5,4,1,1,1,1
11210,1020507,Asteroid Belt,0,12,10,6,4,1,0,1,0
11605,1020508,Thyn's Abyss,0,16,5,7,4,1,1,0,1
11415,1020509,Patriarch's Conclusion,0,14,15,8,4,1,0,1,1
11516,1020510,Thyn's Excavation,0,15,16,9,4,0,1,1,1
10716,1020511,Unseen Domain,0,7,16,10,4,0,0,1,1
10715,1020512,Emperor's Pride,0,7,15,11,4,0,1,1,1
10815,1020513,Unholy Descent,0,8,15,12,4,1,1,1,0
10400,1020514,Ceo's Buckzoid,0,4,0,13,4,1,1,0,1
10500,1020515,Teladi Gain,0,5,0,14,4,1,1,1,0
21504,1020516,Third Fortune,1,-1,-1,15,4,0,0,0,1
21604,1020517,Lost Profit,1,-1,-1,16,4,1,1,1,0
10907,1020518,Unknown Sector Beta,0,9,7,17,4,0,1,0,0
10307,1020519,Emperor's Ridge,0,3,7,18,4,1,1,0,1
21904,1020520,Imperial Frontier,1,-1,-1,19,4,0,1,1,0
12004,1020521,Helios Delta,0,20,4,20,4,1,0,0,1
12104,1020522,Kea Epsilon,0,21,4,21,4,1,0,1,0
10312,1020602,Wretched Skies,0,3,12,1,5,0,0,0,1
10412,1020603,The Shallows,0,4,12,2,5,1,0,1,1
10512,1020604,Overmasters,0,5,12,3,5,1,1,1,1
20405,1020605,Icarus,1,-1,-1,4,5,1,0,1,0
11409,1020606,Heretic's End,0,14,9,5,5,1,1,0,0
10303,1020607,Farnham's Legend,0,3,3,6,5,0,0,0,1
10403,1020608,Bala Gi's Joy,0,4,3,7,5,1,1,1,1
10404,1020609,Olmancketslat's Treaty,0,4,4,8,5,0,0,1,1
11515,1020610,Contorted Dominion,0,15,15,9,5,1,1,1,1
11505,1020611,Xenon Sector 472,0,15,5,10,5,0,0,1,1
21105,1020612,Nomad's Gate,1,-1,-1,11,5,1,0,1,0
10816,1020613,Unknown Sector Kappa,0,8,16,12,5,1,0,0,1
10401,1020614,Profit Share,0,4,1,13,5,1,1,1,1
10501,1020615,Seizewell,0,5,1,14,5,1,1,1,0
21605,1020617,Unholy Gift,1,-1,-1,16,5,1,0,0,1
11114,1020618,Duke's Citadel,0,11,14,17,5,1,1,1,1
10308,1020619,Pontifex' Realm,0,3,8,18,5,1,0,1,1
21905,1020620,Emperor's Glory,1,-1,-1,19,5,1,0,1,0
10508,1020703,Light Water,0,5,8,2,6,0,1,0,1
11801,1020704,Menelaus' Paradise,0,18,1,3,6,1,1,1,1
10709,1020705,Rolk's Legacy,0,7,9,4,6,0,1,1,1
10809,1020706,Great Trench,0,8,9,5,6,1,1,1,1
10002,1020707,Cloudbase North West,0,0,2,6,6,0,1,1,1
10102,1020708,Herron's Nebula,0,1,2,7,6,1,1,1,1
10202,1020709,The Hole,0,2,2,8,6,0,1,1,1
10305,1020710,Split Fire,0,3,5,9,6,1,1,1,0
11304,1020711,Sanctuary of Darkness,1,13,4,10,6,0,1,0,0
10507,1020712,Xenon Sector 101,0,5,7,11,6,0,1,0,0
21206,1020713,Profit Guard,1,-1,-1,12,6,0,1,0,1
10402,1020714,Spaceweed Drift,0,4,2,13,6,1,0,1,1
10502,1020715,Greater Profit,0,5,2,14,6,1,0,1,0
10001,1020718,Three Worlds,0,0,1,17,6,1,1,0,1
10101,1020719,Power Circle,0,1,1,18,6,0,1,1,1
10201,1020720,Antigone Memorial,0,2,1,19,6,0,1,1,0
10509,1020803,Shore of Infinity,0,5,9,2,7,1,1,0,1
11802,1020804,Bluish Snout,0,18,2,3,7,1,0,1,0
11703,1020805,Hila's Joy,0,17,3,4,7,1,1,0,1
11803,1020806,Ocean of Fantasy,0,18,3,5,7,1,1,1,0
10003,1020807,Ringo Moon,0,0,3,6,7,1,1,0,1
10103,1020808,Argon Prime,0,1,3,7,7,1,1,1,1
10203,1020809,The Wall,0,2,3,8,7,1,1,1,0
10406,1020810,Danna's Chance,0,4,6,9,7,1,1,0,1
10506,1020811,Nopileos' Memorial,0,5,6,10,7,1,0,1,1
10606,1020812,Hatikvah's Faith,0,6,6,11,7,1,1,1,1
21207,1020813,Open Exchange,1,-1,-1,12,7,1,0,1,1
21307,1020814,Endless Mines,1,-1,-1,13,7,0,1,1,0
10407,1020815,Freedom's Reach,0,4,7,14,7,0,1,0,0
10004,1020818,Red Light,0,0,4,17,7,1,1,0,1
10104,1020819,Home of Light,0,1,4,18,7,1,1,1,1
10204,1020820,President's End,0,2,4,19,7,1,1,1,1
11016,1020821,Lasting Vengeance,0,10,16,20,7,0,0,1,0
10510,1020903,Blue Storm,0,5,10,2,8,1,1,0,0
20308,1020904,Althes,1,-1,-1,3,8,0,1,0,1
20408,1020905,Aldrin,1,-1,-1,4,8,1,1,1,0
11607,1020906,Wastelands,0,16,7,5,8,1,1,0,1
