id,text
20000,Avarice
20001,Perdition's End
20002,Redemption
20003,Legend's Home
20004,Gaian Star
20005,Prophecy Fulfilled
20006,Magrathea
30000,Spires of Elusion
30001,Clarity's End
30002,Weaver's Tempest
30003,Senator's Badlands
30004,Vestibule of Creation
30005,Faded Dreams
30006,Gunne's Crusade
30007,Elysium of Light
30010,Menelaus' Oasis
30011,Queen's Harbour
30012,Queen's Retribution
30013,Veil of Delusion
30014,Homily of Perpetuity
30015,The Shallows
30020,Duke's Citadel
30021,Cathedral of Xaar
30022,Pontifex' Conclusion
30023,Perpetual Sin
30024,Third Redemption
30025,Heaven's Assertion
30030,Hollow Infinity
30031,Tears of Greed
30032,Sanctity of Corruption
30033,Wretched Skies
30034,Desecrated Skies
30035,Twisted Skies
30040,Tharka's Ravine
30041,Thyn's Excavation
30042,Patriarch's Conclusion
30043,Contorted Dominion
30044,Rhonkar's Might
30045,Rhonkar's Trial
30050,CEO's Investment
30051,Acquisition Repository
30052,CEO's Wellspring
30053,Company Strength
30054,Bright Profit
30055,Spaceweed Grove
30060,Unknown Xenon Sector
30061,Unknown Enemy Sector
30062,Unknown Allied Sector
30063,Kha'ak Sector
30064,Xenon Sector
